Part Number,Description,Cost per Unit,Notes,MECO Part Number,Manufacturer,Vendor,In Stock,Update,UL File Number,UL CCN,Related Panel Details,Related Job Parts Lists,Label
12AWG TYPE THHN (,"WIRE,#12AWG,BLACK,STRANDED
TYPE THHN (#12AWG BLACK)",$0.40 ,,2803309000,,,,,,,"4CVKk_AAmb4y22XSBA5hce , 7Bvt4nbe1n4nImqChV1Oqa , AIAGKyI9_E4SYP0TpddPP8 , Y3t6-ZEsGd4rqtqGlo7EF9 , 6EJHpQi79m4QQNv-7sunn9 , Sjxhhx2mG04SEZZ835KZ41","cAVoGWIWEv4GMsKIL0N-33 , h-DnawczvF4reoEjpC2NL8 , 6udu6z65t-4Dedp9t_5FMe , tZ3mu5xK9j4hi4h_mbcg28 , IsMeSrPKcm4UQ31f4bfC70 , xvh81rBulg4wUTN80nG0ja",MECO 2803309000
10376IPNLTAG,"NAMETAG,INSTRUMENT PANEL,00.063""THK,
2-PLY MATTE,PHENOLIC TYPE,
WHITE BACKGROUND,BLACK LETTERING,WITH ADHESIVE
FOR PERMANENT ATTACHMENT
TEXT PER DRAWING #10376IPNLTAG",$0.00 ,,10376IPNLTAG,,,,,,,fZfYp72PUX4SMjJJFfVeTd,"yaaBzAIHlb4mYxeTfna7W4 , t9qtDcxe4V4dQW_Wyk3NP4",MECO 10376IPNLTAG
"PANEL,GAUGE,MSS","PANEL,GAUGE,MSS,FOR PNEUMATIC INSTRUMENT PANEL (FISHER REGULATORS), 63MM GAUGES LOCKING SHUTOFF VALVE,2 GAUGES,1 REGULATOR",$155.00 ,,2204938001,,,,,,,"hGUr8dsSRi4DQM5aEr-K71 , IO2P_XXMhm4SY5SAWkD5U0 , 0wqidTVzLE4lmaEH77RuTe , FR7CBaK_z24OumsayGsdG3","yVqhP3CfbM4RMAGwu83A8a , 9ng69mO8Wc4sIYZ8FZWIJ1 , eRKgZCPKbd4WuuDfvkEeN5 , HzSXdduN4G4KIzQmdzAxN3 , 3uf9MJu3yM4LI8ePi3v1k9",MECO 2204938001
"NUT,LOCK,HEX,00.250""-20UNC-2B,WITH NYLON INSERT,304SST(18-8)","NUT,LOCK,HEX,00.250""-20UNC-2B,WITH NYLON INSERT,304SST(18-8)",$0.25 ,,3502853000,,,,,,,"_o1WH_pvTs4Gupv1bUK7-5 , SYNuD_62jD4OYlYiMW3HOf , zMDYiKacHF45YkXfhqjZBa , ywgGW4i0YS4nMt2FSs1vba , _e8f0qZM114dybI64Crna2","TJs2es9tsh4A642_t41Rd2 , vSMP5nre3w4m6YgSwohVB6 , x8D3ilsT1u4pAS_DmPXcbe , rn4nW2-nCX4BURkDKR7Y90 , wdhBv9BE4J4cEJ4b3UdFlb , Cag3n0TCzc4wqmujhTk964",MECO 3502853000
"CAPSCREW,HEX,00.313""-18UNC-2A X 01.125""LG","CAPSCREW,HEX,00.313""-18UNC-2A X 01.125""LG,316SST, ASTM F593,GROUP 2 (OR ASTM A193,GRADE B8M,CLASS 2)",$1.50 ,,3500396000,,,,,,,"kzlvNbHOXI4eiMq6PcHDzb , 3n7O8UbBE34bqz7XUuCGrb , tJ4X4u51gu49uIMLty3Hn0","ZWMyQX6bpp4Xi2UTb9syea , FcZDx8Eys24-aYUkJssLx1 , V3VBBjGuS34pETg8dQwcY9 , b5dksy4-a74-Qf6nGLT7uf",MECO 3500396000
10376PNEUV-ITAGS,"NAMETAG SET,CS PNEU PANEL VALVES & INSTRUMENTS,00.063""THK,
2-PLY MATTE,WHITE BACKGROUND,BEVEL EDGE
TEXT PER DWG # 10376PNEUV-ITAGS",$0.00 ,,10376PNEUV-ITAGS,,,,,,,O1y95k-kHV4oimlBwD--O6,"iS2w09jv3F4sYTYR_woo89 , S_Ziji8Qna48UomKMfdQE5",MECO 10376PNEUV-ITAGS
"10-24UNC-2A X 00.375""LG","SCREW,MACH,RND HD,#10-24UNC-2A X 00.375""LG,
SLOTTED,304SST,ANSI B18.6.3",$2.50 ,,3503146000,,,,,,,"GaKP4xM2B649mXvi5CxOze , 0vlqCEjXyQ4Lufb16mc0A4 , PKxfHgqVbY4t6KcEendv23 , yYGi710q-S49etGRaIAD43 , WwFaefHwhW4Ge_qTTs8mq4","QDI3edP58f4jUjeoPU3Eme , CoTs9mvgPA4w21S3HdzIK5 , u_eUbvAPuW4sIMLTp0EWkd , dOsu6BZIyr4zec3u8Qv6_9 , --F-mkpk3-4MQMv_VgRJC7 , e2GtfCrveE4RuMbCn4UWC1",MECO 3503146000
10376CC,"PANEL,DISCONNECT,DISTRIBUTION SKID,
REF DWG # 10376CC
(QC ONLY PRINT CC UPON REQUEST FROM MFG)",$0.00 ,,10376MCC,,,,,,,PdEoTgEMb14aE5kbxv7vIb,"IHmCSh8S554k2acZKQjVTa , k2CZTAPq0o4RiXt_yQkP5a",MECO 10376MCC
10376MCCTAG,"NAMETAG,DISCONNECT PANEL,00.063""THK,
2-PLY MATTE,PHENOLIC TYPE,
WHITE BACKGROUND,BLACK LETTERING,WITH ADHESIVE
FOR PERMANENT ATTACHMENT
TEXT PER DRAWING #10376MCCTAG",$0.00 ,,10376MCCTAG,,,,,,,jn-XeVmQNX4TI5dE7dLVY2,"fsQIYSeEZL4IyzsmCA2GDb , LosGhys83s4oaN-sxkIScc",MECO 10376MCCTAG
10376MCCTAG2,"NAMETAG,DISCONNECT PANEL,00.063""THK,
2-PLY MATTE,PHENOLIC TYPE,
WHITE BACKGROUND,BLACK LETTERING,WITH ADHESIVE
FOR PERMANENT ATTACHMENT
TEXT PER DRAWING #10376MCCTAG2",$0.00 ,,10376MCCTAG2,,,,,,,gU-Vv-CsnN4nip0k3fnpq1,"NEM3hp5sPx42YfNSSuZUq4 , 1BMXG4L_XX4FaWL4-KItJ1",MECO 10376MCCTAG2
